Time Stamp,Actual value Tc [°C],Actual value Tc2 [°C],Actual value T1 [°C],Setpoint T1 [°C],Actual value T2 [°C],Actual value T3 [°C],Actual value T4 [°C],pSC2 Pressure VSC [mbar],Actual value TAR [°C],Actual value TSCP [°C],Actual value TCR [°C],Actual value TVR [°C],Actual pressure p1 [Pa],pCR2 Pressure VCR [mbar],Actual underpressure p2 [Pa],pSCP1 Pressure VSC [mbar],Flag MAN(1)/AUT(0) command BF  [%],Set % command BF  [%],pCR1 Pressure VCR [mbar],Flow gas BT [%],Flow gas BF [%],Present Value VAC [% * 0.1],Setpoint VAC [% * 0.1],Setpoint drum speed TT [% * 0.1],Actual value TT [rpm],Actual value closing VAF [%],Free (IdLogger=27),Actual value opening VAT [%],Setpoint Closing VAF [%],Free (IdLogger=30),Setpoint Opening VAT [%],Actual value CO [ppm],Flag MAN(1)/AUT(0) % opening VAC,Flag MAN(1)/AUT(0) % speed TT,Flag MAN(1)/AUT(0) %opening VAF,Flag MAN(1)/AUT(0) % opening VAE,Flag MAN(1)/AUT(0) command % VAT,Gas temperature BF [°C],Gas pressure BF [mbar],pAc Air compressed flow [l/min],pAr Air compressed pressure [Bar],Gas meter pulses BT (0.01mc/imp),Active power [W],Gas meter pulses BF (0.01mc/imp),Reactive power [VAr],Quenching pulses [num],Apparent power [VA],Total active energy [kWh],Total reactive energy [kVAh],Machine status,Cooking phase,Set point Tc/T2/%BT [°C],MB_R2_DATASET,MB_PB_Out_Calc (Porportional Band calculated),MB_TI_Out_Calc (Integral Time calculated),MB_Td_Out_Calc (Derivative time calculated),MB_R2_OUT_CMD (Output regulator R2),MB_R2_OUT_CMD_LIN (Output regulator R2 linearized),MB_TC (Temperature Tc to SigmaPac),MB_TC2 (Temperature Tc control to SigmaPac),MB_T1 (Temperature T1 to SigmaPac),MB_T2,Actual value TPC [°C],Actual value TK [°C],Actual value TCC [°C],Catalyzer inlet pPC pressure [Pa],Catalyzer outlet pK pressure [Pa],Free (IdLogger=68),Free (IdLogger=69),Air speed meter fSCP [m/sec] 
29/01/2021 00:46:43,142.7,136,517,502,190,185,184,-30.6,52,202,20,60,-22,-32.3,-71,-4.3,0,8,-3.9,0,25,397,40,80,37.9,97,0,97,96,0,99,56,0,0,0,0,0,10,143,189,627,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,412,461,6,-29,-54,100,100,6
29/01/2021 00:46:44,142.7,137.2,517,511,193,185,184,-30.7,52,202,20,59,-23,-32.3,-76,-4.4,0,10,-4,0,26,397,40,80,37.9,97,0,97,88,0,96,60,0,0,0,0,0,10,143,163,627,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,412,461,6,-31,-54,100,100,6
29/01/2021 00:46:45,142.9,139.1,517,518,198,185,184,-30.7,53,202,20,58,-25,-32.3,-77,-4.5,0,10,-4,0,26,397,40,80,37.7,96,0,97,81,0,94,64,0,0,0,0,0,10,143,150,628,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,411,462,6,-27,-58,100,100,6
29/01/2021 00:46:46,143.2,140.6,517,524,202,186,185,-30.5,53,202,20,57,-22,-32.2,-75,-4.4,0,11,-4,0,28,397,40,80,37.8,91,0,97,75,0,92,69,0,0,0,0,0,10,143,147,628,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,411,462,6,-24,-54,100,100,7
29/01/2021 00:46:47,144,142.6,518,529,208,187,186,-30.6,54,202,20,54,-19,-32.3,-72,-4.4,0,12,-3.9,0,29,396,40,80,37.8,82,0,97,71,0,91,75,0,0,0,0,0,10,143,145,627,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,411,462,6,-33,-56,100,100,7
29/01/2021 00:46:48,144.7,144.3,518,534,212,188,187,-30.7,54,202,21,51,-19,-32.4,-72,-4.4,0,12,-3.8,0,29,396,40,80,37.8,77,0,96,68,0,89,79,0,0,0,0,0,10,143,144,627,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,411,462,6,-25,-58,100,100,7
29/01/2021 00:46:49,145.7,146.2,519,538,218,190,189,-30.7,54,202,21,52,-14,-32.4,-68,-4.4,0,13,-3.8,0,30,395,40,80,37.9,73,0,94,65,0,88,83,0,0,0,0,0,10,143,144,627,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,410,462,6,-26,-49,100,100,7
29/01/2021 00:46:50,146.8,147.9,520,542,223,192,190,-30.5,55,202,21,52,-9,-32.2,-63,-4.4,0,14,-3.9,0,30,396,40,80,37.9,69,0,93,64,0,87,85,0,0,0,0,0,10,142,146,626,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,410,462,6,-18,-50,100,100,7
29/01/2021 00:46:51,148.2,150.1,522,545,229,194,192,-30.4,55,202,21,50,-8,-32.2,-60,-4.6,0,14,-4,0,31,399,40,80,37.9,67,0,91,64,0,87,86,0,0,0,0,0,10,143,148,626,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,410,462,6,-20,-53,100,100,7
29/01/2021 00:46:52,149.5,151.7,523,547,233,196,194,-30.7,55,202,21,50,-6,-32.4,-59,-4.7,0,14,-4,0,31,400,40,80,37.9,66,0,90,62,0,86,86,0,0,0,0,0,10,142,147,626,26,3504,26094,983,15,4029,9727,17004,0,52,200,0,0,0,0,0,0,0,0,0,0,410,463,6,-16,-47,100,100,7
